Срочность	Артикул_ВБ	Название	Ср_продажи_мес	Годовой_спрос	Остаток_шт	Покрытие_мес	Заказ_шт	Себест_руб	Сумма_заказа_руб	ROI_%	Маржа_на_ед_руб
1_СРОЧНО	238358009	ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N	342.3	5669.0	0.0	0.0	5669.0	0.0	0.0		
1_СРОЧНО	437231408	ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml	10.0	166.0	0.0	0.0	166.0	0.0	0.0		
1_СРОЧНО	226322576	ELIZAVECCA - (х2) Witch Piggy hell pore blemish spot patch	1.0	17.0	0.0	0.0	17.0	0.0	0.0		
1_СРОЧНО	102259020	white /3х3/	1.0	17.0	0.0	0.0	17.0	0.0	0.0		
1_СРОЧНО	226115324	PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs]	153.3	2539.0	0.0	0.0	2539.0	0.0	0.0		
1_СРОЧНО	206135397	I'm Sorry For My Skin Age Capture Hydrating	48.0	795.0	0.0	0.0	795.0	0.0	0.0		
1_СРОЧНО	207464799	HEIMISH - All Clean Balm [120ml]	81.3	1347.0	0.0	0.0	1347.0	0.0	0.0		
1_СРОЧНО	226114935	PETITFEE - Gold Hydrogel Mask Pack [5pcs]	64.7	1071.0	0.0	0.0	1071.0	0.0	0.0		
1_СРОЧНО	248928555	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Acne Clear Body Cleanser [400g]	2.0	33.0	0.0	0.0	33.0	0.0	0.0		
1_СРОЧНО	207481714	COSRX AHA/BHA Clarifying Treatment Toner [150ml]	28.5	472.0	0.0	0.0	472.0	0.0	0.0		
1_СРОЧНО	226115248	PETITFEE - Cacao Energizing Hydrogel Mask Pack [5pcs]	28.0	464.0	0.0	0.0	464.0	0.0	0.0		
1_СРОЧНО	154163936	Elizavecca Hell-Pore Control Hyaluronic Acid 97%	1.3	22.0	0.0	0.0	22.0	0.0	0.0		
1_СРОЧНО	170198835	Enough Collagen Foundation Cover Up Ultra X10 13 тон	202.0	3345.0	0.0	0.0	3345.0	0.0	0.0		
1_СРОЧНО	214312837	THE SAEM Saemmul Perfect Curling Mascara [8ml]	1.0	17.0	0.0	0.0	17.0	0.0	0.0		
1_СРОЧНО	206125905	I'm Sorry for My Skin Крем Age Capture Skin Relief	1.0	17.0	0.0	0.0	17.0	0.0	0.0		
1_СРОЧНО	333321028	ELIZAVECCA - Milky Piggy Hell-Pore Clean Up Enzyme Powder Wash2	3.0	50.0	0.0	0.0	50.0	0.0	0.0		
1_СРОЧНО	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	97.7	1617.0	0.0	0.0	1617.0	0.0	0.0		
1_СРОЧНО	199425671	Dr.Jart_Teatreatment_Soothing_Spot	1.5	25.0	0.0	0.0	25.0	0.0	0.0		
1_СРОЧНО	190160197	EKEL Ampoule Toner Collagen 150ml	18.0	298.0	0.0	0.0	298.0	0.0	0.0		
1_СРОЧНО	212759698	JIGOTT - Moisture Real Aloe Vera Toner [300ml]	47.3	784.0	0.0	0.0	784.0	0.0	0.0		
1_СРОЧНО	238359757	LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N	497.5	8239.0	0.0	0.0	8239.0	0.0	0.0		
1_СРОЧНО	437845041	ROUND LAB VITA NIACINAMIDE DARK SPOT CREAM 50ml	48.7	806.0	0.0	0.0	806.0	0.0	0.0		
1_СРОЧНО	238359400	LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N	493.0	8164.0	0.0	0.0	8164.0	0.0	0.0		
1_СРОЧНО	214305705	DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml]	36.5	604.0	0.0	0.0	604.0	0.0	0.0		
1_СРОЧНО	199367159	Dr.Jart_Dermaclear_Micro_Foam	10.5	174.0	0.0	0.0	174.0	0.0	0.0		
1_СРОЧНО	437248870	ROUND LAB MUGWORT CALMING SOOTHING GEL_150ml	1.0	17.0	0.0	0.0	17.0	0.0	0.0		
1_СРОЧНО	207479264	EKEL Ampoule Cream Collagen [50ml]	70.3	1165.0	0.0	0.0	1165.0	0.0	0.0		
1_СРОЧНО	190314349	СГ-Красная	1.5	25.0	0.0	0.0	25.0	0.0	0.0		
1_СРОЧНО	210579932	LEBELAGE - Dr. Snail Derma Eye Cream [40ml]	39.0	646.0	0.0	0.0	646.0	0.0	0.0		
1_СРОЧНО	59758723	NAUSHNIK/DETY/MENTOL/	1.0	17.0	0.0	0.0	17.0	0.0	0.0		
1_СРОЧНО	165002270	ENOUGH collagen moisture BB Cream SPF47 PA+++ BB	52.5	869.0	0.0	0.0	869.0	0.0	0.0		
1_СРОЧНО	165008074	LEBELAGE - High Protection Daily No Sebum Sun Cream SPF50+ PA++ [30ml]	16.0	265.0	0.0	0.0	265.0	0.0	0.0		
1_СРОЧНО	214301052	DEOPROCE - AC CICA CALMING BOOSTING TONER [150ml]	7.0	116.0	0.0	0.0	116.0	0.0	0.0		
1_СРОЧНО	611717011	ENOUGH Collagen whitening cover tip concealer #01	6.0	99.0	0.0	0.0	99.0	0.0	0.0		
1_СРОЧНО	208710540	FARMSTAY Argan Oil Complete Volume Up Shampoo & Conditioner [530ml] 1	16.5	273.0	0.0	0.0	273.0	0.0	0.0		
2_1-2мес	551472457	CELIMAX THE REAL NONI ENERGY AMPOULE_30ML (NEW) [30ml]	16.0	265.0	35.0	2.2	230.0	763.83	175681.0	47.36	361.75
2_1-2мес	248929125	SOME BY MI - AHA-BHA-PHA 30 Days Miracle Cream [60g]	8.7	144.0	19.0	2.2	125.0	1057.2	132150.0	30.89	326.58
2_1-2мес	247275092	THE ORDINARY - Glycolic Acid 7% Toning Solution[KOR] [240ml]	6.3	105.0	15.0	2.4	90.0	845.49	76094.0	-40.9	-345.78
2_1-2мес	551490295	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml]	10.7	177.0	39.0	3.7	138.0	272.44	37597.0	-18.87	-51.41
2_1-2мес	206058262	ELIZAVECCA_galactomyces_Ample	4.3	72.0	16.0	3.7	56.0	447.64	25068.0	82.64	369.94
2_1-2мес	1123574113	Round Lab 1025 Dokdo Toner	3.0	50.0	10.0	3.3	40.0	484.93	19397.0	110.27	534.72
2_1-2мес	340752919	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	6.3	105.0	13.0	2.1	92.0	142.48	13108.0	-36.17	-51.53
3_плановый	551540924	CELIMAX PORE+DARK SPOT BRIGHTENING PAD [100ml / 40pads]	30.0	497.0	146.0	4.9	351.0	556.18	195219.0	-552.29	-3071.73
3_плановый	207796350	ELIZAVECCA - CER-100  [100ml]	24.7	408.0	155.0	6.3	253.0	242.23	61284.0	23.59	57.14
3_плановый	551392965	CELIMAX DUAL BARRIER SKIN WEARABLE CREAM [50ml]	7.7	127.0	68.0	8.9	59.0	864.11	50982.0	62.77	542.44
3_плановый	551447345	CELIMAX PORE+DARK SPOT BRIGHTENING CREAM [35ml]	6.7	110.0	48.0	7.2	62.0	623.43	38653.0	122.9	766.22
3_плановый	551482493	CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml]	5.0	83.0	31.0	6.2	52.0	687.58	35754.0	77.02	529.57
3_плановый	663654300	videokamera4gneww	2.0	33.0	19.0	9.5	14.0	2048.85	28684.0	23.79	487.52
3_плановый	551518955	CELIMAX THE REAL NONI MOISTURE BALANCING TONER (NEW) [150ml]	2.3	39.0	11.0	4.7	28.0	719.58	20148.0	78.52	565.01
3_плановый	212720615	ISNTREE - Onion Newpair Gel Cream [50ml]	2.3	39.0	38.0	16.3	1.0	1072.67	1073.0	-21.45	-230.11
