Уровень	Артикул_ВБ_или_Регион	Название	Индекс_локализации_%	КТР	Выкуп_%	Остаток_FBO	Остаток_FBS	Заказы_локально_шт	Заказы_локально_%	Заказы_нелокально_%
	207796563	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream	A	96			13	29.55	70.45
	419630142	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	FARMSTAY ESCARGOT NOBLESSE INTENSIVE AMPOULE	A	93			39	88.64	11.36
	207477077	FARMSTAY - Collagen Water Full Moist Cream [100g]	FARMSTAY - Collagen Water Full Moist Cream [100g]	A	98	52		43	100	
	212757456	JIGOTT - Daily Real Cica Toner [300ml]	JIGOTT - Daily Real Cica Toner [300ml]	A	93			26	61.90	38.10
	212889025	Enoughcollagenwhiteningcovertip01	Enoughcollagenwhiteningcovertip01	B	90	10		42	100	
	170198180	Enough Rich Gold Double Wea Radiance Foundation 13 тон	Enough Rich Gold Double Wea Radiance Foundation 13 тон	A	91			25	62.50	37.50
	868761530	LANEIGE LIP SLEEPING MASK-BERRY [3g]	LANEIGE LIP SLEEPING MASK-BERRY [3g]	A	88	9		37	92.50	7.50
	214964091	JMSOLUTION - Mask Pack Disney	JMSOLUTION - Mask Pack Disney	A	91			25	65.79	34.21
	151132051	ENOUGH COLLAGEN 3IN1 13	ENOUGH COLLAGEN 3IN1 13	B	90	16		19	57.58	42.42
	170198738	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	Enough 8 Peptide Full Cover Perfect Foundation 13 тон	B	91			23	69.70	30.30
	169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	A	93	10		32	100	
