Артикул_ВБ	Название	Остаток_шт	Объем_л	Цена_с_СПП	Себестоимость	Комиссия_ФБО_%	Выкуп_%	Реклама_на_ед	Хранение_на_ед	Объем_на_ед_л	Эквайринг_%	Себест_в_остатке	ДРР_%	Хранение_ВБ_остаток	Комиссия_остаток	Налог_остаток	НДС	ROI_API_%	Маржа_на_ед	Маржинальность_счет_%	Маржинальность_постав_%
340752919	PETITFEE Black Pearl & Gold Hydrogel Eye Patch/Gold Hydrogel Eye Patch	31	6.85	261	142.48	32.50	100		3.33	0.22	2.44	12431		103.23	4040.08	604.93	529.32	-36.17	-51.53	-28.60	-12.85
180992464	PETITFEE Aura Quartz Hydrogel Eye Mask Pure Opal	30	12.15	1293	591.29	32.50	95		2.88	0.41	2.44	55350		86.40	17988.75	2900.19	2537.66	64.18	379.49	32.66	20.57
169198316	Etude House Baking Powder Pore Cleansing Foam 160 ml белая	28	18.62	733	260.26	32.50	93	247.99	3.84	0.67	2.44	29736		107.52	9664.20	1534.50	1342.69	-11.76	-30.62	-4.99	-2.88
1123494802	VT Reedle Shot	27	10.80	1927	974.04	32.50	100		3.09	0.40	2.44	88830		83.43	28869.75	3890.02	3403.77	99.36	967.77	45.31	29.42
212753217	JIGOTT - Collagen Healing Cream [100ml]	25	16.20	493	175.42	32.50	97		3.21	0.65	2.44	19875		80.25	6459.38	921.50	806.31	110.17	193.26	40.20	24.31
611745490	ENOUGH Collagen whitening cover tip concealer #03	23	10.76	754	183.24	32.50	100		2.70	0.47	2.44	24380		62.10	7923.50	1296.60	1134.52	177.03	324.39	50.29	30.60
204258828	COSRX_Salicylic_Acid_Cleanser	22	13.86	878	343.82	32.50	97	199.15	3.06	0.63	2.44	27984		67.32	9094.80	1444.19	1263.66	21.01	72.24	9.44	5.68
207818000	ISNTREE - Chestnut AHA 8% Clear Essence Sample [20ml]	22	1.39	299	99.08	32.50	60	113.76	2.67	0.06	2.44	11308		58.74	3675.10	491.81	430.34	-106.36	-105.38	-52.75	-20.50
214312385	THE ORDINARY - Argireline Solution 10% [30ml]	22	5.72	1107	722.04	32.50	80	336.34	3	0.26	2.44	39864		66	12955.80	1820.86	1593.25	-18.38	-132.68	-12.08	-7.32
1123574113	Round Lab 1025 Dokdo Toner	21	11.34	1099	484.93	32.50	100		2.91	0.54	2.44	37800		61.11	12285	1725.53	1509.84	110.27	534.72	47.26	29.71
1119249556	VT PDRN Essence 100	19	5.70	2502	1335.95	32.50	100		3.09	0.30	2.44	81130		58.71	26367.25	3554.24	3109.96	90.45	1208.30	43.22	28.30
180852837	Триммер черный v1	17	60.59	1834	1056.22	25.50	100		10.56	3.56	2.44	41922		179.52	10690.11	2331.07	2039.68	39.84	420.85	24.33	17.07
179611207	Petitfee GOLD & SNAIL HYDROGEL EYE PATCH	16	6.48	783	415.46	32.50	98		3.24	0.41	2.44	17872		51.84	5808.40	936.67	819.59	39.03	162.14	24.62	14.52
180987509	Petitfee Pink Vita Brightening Eye Mask	14	9.24	1114	486.69	32.50	100		2.94	0.66	2.44	22260		41.16	7234.50	1166.06	1020.30	68.96	335.61	33.71	21.11
