Артикул WB,Артикул продавца,Название,Предмет,Бренд,Остаток_шт,Стоимость_остатка,Заказали_шт,Выкупили_шт,Оборачиваемость_текущих,Оборачиваемость_средних
551607905,CELIMAX JI WOO GAE CICA BHA BLEMISH TONER PAD [170ml / 60pads],Успокаивающие тонер пэды для лица с кислотами,Пэды косметические,Celimax,0,0,130,109,0.0,0.0
437248870,ROUND LAB MUGWORT CALMING SOOTHING GEL_150ml,Увлажняющий крем гель для лица и тела от воспалений Корея,Кремы,round lab,0,0,0,0,0.0,0.0
555204573,dm7dm3-45,Дед Мороз под елку 45 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,0,0,0.0,0.0
555213580,dm7dm5-50,Дед Мороз под елку 50 см,Фигурки и статуэтки,Дед Мороз Фигурка,0,0,1,1,0.0,0.0
207796898,ENOUGH - Gold Snail Moisture Foundation [Tone 21],Тональный крем для лица матовый увлажняющий с муцином,Тональные кремы,ENOUGH,0,0,176,151,0.0,0.0
214312837,THE SAEM Saemmul Perfect Curling Mascara [8ml],Тушь для ресниц Корея подкручивающая,Туши,THE SAEM,0,0,0,0,0.0,0.0
611717011,ENOUGH Collagen whitening cover tip concealer #01,"Консилер для лица плотный 01, корректор светлый",Корректоры,ENOUGH,0,0,2,1,0.0,0.0
214312999,MISSHA - M Perfect Cover BB Cream SPF42 PA+++ (Tone 27) [20ml],Корейский bb крем для лица увлажняющий тон 27,BB-кремы,MISSHA,0,0,0,0,0.0,0.0
333319980,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N3,Солнцезащитный крем для лица spf 50,Кремы,ENOUGH,0,0,0,0,0.0,0.0
437231408,ROUND LAB BIRCH JUICE MOISTURIZING SUNSCREEN_50ml,Солнцезащитный крем spf 50 для лица с спф,Кремы,round lab,0,0,0,0,0.0,0.0
238359757,LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,0,0,334,309,0.0,0.0
214301052,DEOPROCE - AC CICA CALMING BOOSTING TONER [150ml],Увлажняющий тонер для лица Корея с центеллой азиатской,Тоники,DEOPROCE,0,0,0,0,0.0,0.0
214305705,DEOPROCE SHAMPOO - ARGAN SILKY MOISTURE [1000ml],Шампунь для волос с аргановым маслом,Шампуни,DEOPROCE,0,0,0,0,0.0,0.0
226322576,ELIZAVECCA - (х2) Witch Piggy hell pore blemish spot patch,Патчи от прыщей Корея прозрачные 88 шт.,Пластыри косметические,Elizavecca,0,0,1,1,0.0,0.0
238358009,ENOUGH - Collagen Moisture Sun Cream SPF50+ PA++++ [50ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,ENOUGH,0,0,300,283,0.0,0.0
238359400,LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N,Солнцезащитный крем СПФ 50 для лица и тела,Кремы,Lebelage,0,0,832,761,0.0,0.0
212796158,MISSHA - M Perfect Cover BB Cream SPF42+ PA+++ (Tone 13) [50ml],Корейский bb крем для лица увлажняющий тон 13,BB-кремы,MISSHA,0,0,0,0,0.0,0.0
226114935,PETITFEE - Gold Hydrogel Mask Pack [5pcs],Маски для лица с золотом,Маски гидрогелевые,Petitfee,0,0,59,51,0.0,0.0
437203627,ROUND LAB BIRCH JUICE MOISTURIZING CLEANSER_150ml,Гель для умывания лица увлажняющий Корея,Пенки,round lab,0,0,0,0,0.0,0.0
248928555,SOME BY MI - AHA-BHA-PHA 30 Days Miracle Acne Clear Body Cleanser [400g],Гель для душа против прыщей,Скрабы,Some by mi,0,0,0,0,0.0,0.0
307073881,ETUDE Baking Powder BB Deep Cleansing Foam 160 мл N,Очищающая пенка для снятия макияжа Baking Powder 160ml,Скрабы,Etude house,0,0,3,3,0.0,0.0
212759698,JIGOTT - Moisture Real Aloe Vera Toner [300ml],Корейский успокаивающий тонер с алоэ,Тоники,Jigott,0,0,38,35,0.0,0.0
212752214,GRACE DAY - Bouquet Marine Mist,Освежающий спрей мист для лица и тела,Тоники,Grace Day,0,0,0,0,0.0,0.0
333259566,JMSOLUTION - Mask Pack Black [8pcs],Маски для лица тканевые,Маски тканевые косметические,JMSolution,0,0,0,0,0.0,0.0
214301939,DEOPROCE - HYDRO ANTIAGING POMERGRANATE TONER [380ml],Тонер для лица антивозрастной с экстрактом граната,Тоники,DEOPROCE,0,0,0,0,0.0,0.0
214312259,SKIN1004 - Zombie Beauty Bloody Peel [30ml],Кровавый пилинг сыворотка для лица кислотная,Сыворотки,SKIN1004,0,0,0,0,0.0,0.0
18406590,LK88Blue,Пульсоксиметр на палец медицинский,Пульсоксиметры,Коронавирус сегодня,0,0,0,0,0.0,0.0
