Категория,Артикул WB,Артикул продавца,Предмет,Бренд,Хранение_период,Строк,ШК_сумма,Средний_объем_л,Складов,Хранение_месяц30
Красота,170198738,Enough 8 Peptide Full Cover Perfect Foundation 13 тон,Тональные кремы,ENOUGH,1397.516,810,8974,0.375,12,722.8531034482759
Красота,207483179,JIGOTT - Snail Reparing Cream [100ml],Кремы,Jigott,1321.012,388,8480,0.57494,11,683.2820689655173
Красота,207796439,ELIZAVECCA - Natural 90% Olive Cleansing Oil,Гидрофильные масла,Elizavecca,1263.68,450,7971,0.98,10,653.6275862068966
Красота,179611278,Petitfee Artichoke Soothing Hydrogel Eye Mask,Патчи,Petitfee,1237.488,192,8212,0.405,6,640.08
Красота,551490295,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_10ml [10ml],Сыворотки,Celimax,1233.568,176,7312,0.19799999999999998,8,638.0524137931035
Красота,206126372,I'm Sorry for My Skin Крем Age Capture Vitalizer,Кремы,I'm Sorry for My Skin,1230.759,434,7948,0.294,10,636.5994827586208
Красота,238359757,LEBELAGE - High Protection Long Lasting Sun Cream SPF50+ PA+++ [30ml] N,Кремы,Lebelage,1206.184,237,7960,0.156,13,623.8882758620689
Красота,207796898,ENOUGH - Gold Snail Moisture Foundation [Tone 21],Тональные кремы,ENOUGH,1186.976,418,8022,0.389436,16,613.953103448276
Красота,179611318,Petitfee Chamomile Lightening Hydrogel Eye Mask,Патчи,Petitfee,1185.707,559,7892,0.405,9,613.2967241379312
Красота,226115141,PETITFEE - Gold & Snail Hydrogel Mask Pack [5pcs],Маски гидрогелевые,Petitfee,1160.5240000000001,505,7477,0.864,9,600.2710344827586
Красота,206058262,ELIZAVECCA_galactomyces_Ample,Сыворотки,Elizavecca,1157.888,512,7860,0.3,7,598.9075862068966
Красота,551482493,CELIMAX PORE+DARK SPOT BRIGHTENING SERUM_30ml [30ml],Сыворотки,Celimax,1151.736,345,7185,0.325,6,595.7255172413793
Бытовая техника,180852804,Скалер белый v1,Скалеры,FETLAR,1128.1070625,442,5661,1.375,6,583.5036530172414
Красота,207479264,EKEL Ampoule Cream Collagen [50ml],Кремы,EKEL,1092.051,172,6915,0.294,5,564.8539655172414
Красота,437254254,ROUND LAB SOYBEAN PANTHENOL CREAM_80ml,Кремы,round lab,1064.42,207,7046,0.288,6,550.5620689655173
Красота,238359400,LEBELAGE - High Protection Extreme Sun Cream SPF50+ PA++ [30ml] N,Кремы,Lebelage,1060.858,276,9001,0.156,12,548.7196551724138
Красота,236825103,JMSOLUTION-Marine Luminous Pearl Deep Moisture Mask Pearl [1/2/3]*[10ea],Маски тканевые косметические,JMSolution,1050.55965,527,4686,1.575,6,543.392922413793
Красота,179611207,Petitfee GOLD & SNAIL HYDROGEL EYE PATCH,Патчи,Petitfee,1046.5240000000001,339,6561,0.405,7,541.3055172413794
Красота,611747838,Collagen_Enough_Moisture_Foundation_23,Тональные кремы,ENOUGH,1045.192,441,7307,0.625,10,540.6165517241379
Красота,180988755,Petitfee B-Glucan Deep Firming Eye Mask,Патчи,Petitfee,1014.1525,485,6462,0.9079350762886599,7,524.5616379310345
Красота,198156698,Manyo_Pure_Cleansing_Oil,Гидрофильные масла,manyo,1001.9005,377,6618,0.525,18,518.2243965517241
Техника для красоты и здоровья,180852837,Триммер черный v1,Триммеры,Триммер для бороды,989.551728,345,1742,3.5639999999999996,6,511.8371006896552
Красота,165002270,ENOUGH collagen moisture BB Cream SPF47 PA+++ BB,Кремы,ENOUGH,985.9929999999999,91,10138,0.28,4,509.99637931034476
Красота,207796563,ELIZAVECCA - Aqua Hyaluronic Acid Water Drop Cream,Кремы,Elizavecca,977.468,315,7091,0.252,8,505.58689655172407
Бытовая техника,152115510,sBotW200,Роботы-стеклоочистители,SKL TECH,962.95176,28,620,9.855,8,498.0784965517242
Красота,868575374,MANYO BIFIDA COMPLEX AMPOULE GEL CLEANSER [400ml],Пенки,manyo,944.76967424,298,4386,1.40896,10,488.67396943448273
Красота,226115324,PETITFEE - Agave Cooling Hydrogel Face Mask [5pcs],Маски гидрогелевые,Petitfee,940.605787008,295,5973,1.063301206779661,10,486.52023465931035
Красота,170198180,Enough Rich Gold Double Wea Radiance Foundation 13 тон,Тональные кремы,ENOUGH,928.532,386,6285,0.4,14,480.27517241379314
Красота,207481251,COSRX Advanced Snail 96 Mucin Power Essence [100ml],Сыворотки,COSRX,898.9355,384,5841,0.4000000000000001,11,464.96663793103454
