JMELLA;;;;;;;;
NO;IMAGE;NAME (KOR);NAME (ENG);BARCODE; VOL ;1 BOX; RETAIL PRICE ; SUPPLY PRICE 
82;;제이멜라 인 프랑스 엘레강스 라 튤립 헤어 샴푸_1000ml;JMELLA IN FRANCE ELEGANCE HAIR SHAMPOO LA TULIPE;8809562562863 ;1000ml;12; ₩18 800 ; ₩4 510 
83;;제이멜라 인 프랑스 엘레강스 라 튤립 바디 워시_1000ml;JMELLA IN FRANCE ELEGANCE BODY WASH LA TULIPE;8809562562702 ;1000ml;12; ₩18 800 ; ₩4 510 
84;;제이멜라 인 프랑스 엘레강스 도 티크 헤어 샴푸 500ml;JMELLA IN FRANCE ELEGANCE HAIR SHAMPOO DO TYQUE;8809562562801 ;500ml;20; ₩10 900 ; ₩2 750 
85;;제이멜라 인 프랑스 엘레강스 도 티크 헤어 트리트먼트 500ml;JMELLA IN FRANCE ELEGANCE HAIR TREATMENT DO TYQUE;8809562562757 ;500ml;20; ₩11 800 ; ₩2 970 
86;;제이멜라 인 프랑스 엘레강스 도 티크 바디 워시 500ml;JMELLA IN FRANCE ELEGANCE BODY WASH DO TYQUE;8809562562672 ;500ml;20; ₩10 900 ; ₩2 750 
87;;제이멜라 인 프랑스 엘레강스 도 티크 바디 로션 500ml;JMELLA IN FRANCE ELEGANCE BODY LOTION DO TYQUE;8809562562627 ;500ml;20; ₩11 800 ; ₩2 970 
88;;제이멜라 인 프랑스 엘레강스 도 티크 헤어 샴푸_1000ml;JMELLA IN FRANCE ELEGANCE HAIR SHAMPOO DOTYQUE;8809562562856 ;1000ml;12; ₩18 800 ; ₩4 510 
89;;제이멜라 인 프랑스 엘레강스 도 티크 바디 워시_1000ml;JMELLA IN FRANCE ELEGANCE BODY WASH DO TYQUE;8809562562719 ;1000ml;12; ₩18 800 ; ₩4 510 
90;;제이멜라 인 프랑스 엘레강스 퓨어 허그 헤어 샴푸 500ml;JMELLA IN FRANCE ELEGANCE HAIR SHAMPOO PURE HUG;8809562562801 ;500ml;20; ₩10 900 ; ₩2 750 
91;;제이멜라 인 프랑스 엘레강스 퓨어 허그 헤어 트리트먼트 500ml;JMELLA IN FRANCE ELEGANCE HAIR TREATMENT PURE HUG;8809562562764 ;500ml;20; ₩11 800 ; ₩2 970 
92;;제이멜라 인 프랑스 엘레강스 퓨어 허그 바디 워시 500ml;JMELLA IN FRANCE ELEGANCE BODY WASH PURE HUG;8809562562689 ;500ml;20; ₩10 900 ; ₩2 750 
