Локация	Товарная группа	Подгруппа	Группа в файле	Оборудование	Наименование	Чертеж	Кол-во по учету	Наличие	Цена за ед., руб	Сумма, руб	Состояние	Комплектность	Происхождение	Примечание	Сумма по наличию
Склад 2	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая Ду100		1	1		0	не указано	комплект			0
Склад 2	Арматура	Клапаны	Кательная арматура		Кланан Рр18-2 45/25	2619802505	1	1		0	не указано	комплект			0
Склад 3	Арматура	Клапанные коробки	Коробка 3-х клапановая фланцевая невозврат.		Коробка 3-х клап.фланцевая запорная Ду50 Ру6		1	1		0	не указано	комплект			0
Склад 3	Трубопроводная обвязка	Фланцы, стаканы, гайки	Гайка пожарная		Гайка Шторца рукавная Ду80Ру10	ВН557-92	1	1		0	не указано	комплект			0
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 190*390	546-03.076	1	1		0	не указано	комплект			0
Склад 3	Корпусная часть	Крышки и люки	Крышка		Крышка с коменсом и жалюзи 240*420	546-03.092	1	1		0	не указано	комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат АЕ 204 М-400-00У3 25А	1	1	1		0	не указано	комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат (расцепитель) АМ 8Н-5 375А	1	1	1		0	не указано	комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автоматический выключатель LG 10А	1	1	1		0	не указано	комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автоматический выключатель LG 20А	1	1	1		0	не указано	комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автоматический выключатель MUF 10-5	1	1	1		0	не указано	комплект			0
Склад 3	Корпусная часть	Крышки и люки	ЭЛЕКТРИКА		Автомат.выключ. ТИП А377 160А 380V(без крышки)	1	1	1		0	не указано	не комплект			0
Склад 3	Электрика	Автоматы и контакторы	ЭЛЕКТРИКА		Автомат.выключ. ТИП А377 5БР 100А 380V	1	1	1		0	не указано	комплект			0
